gene,eqtl_id,n_snps,method,F_statistic,beta,se,pval,bonferroni_alpha,bonferroni_pass,steiger_pval,steiger_correct,cream_R_beta,cream_R_pval,cream_L_beta,cream_L_pval,cream_directional_consistency,reverse_mr_pval,reverse_mr_null,tier_T1_strong_secondary,in_tier2_anchors,coloc_PP_H1,coloc_PP_H3,coloc_PP_H4,coloc_lead_snp,coloc_interpretation,final_tier
SDC2,eqtl-a-ENSG00000169439,5,Inverse variance weighted,81.9844694144846,-0.00497718171469861,0.00331446085886367,0.133185841876455,0.000427350427350427,FALSE,1.44643818471401e-78,TRUE,,,,,,,,,FALSE,,,,"","",Null
AXIN2,eqtl-a-ENSG00000168646,6,Inverse variance weighted,385.566275799373,-0.00158154175647743,0.00106852149111597,0.138840793772656,0.000427350427350427,FALSE,2.23267202002922e-266,TRUE,,,,,,,,,FALSE,,,,"","",Null
PSME4,eqtl-a-ENSG00000068878,3,Inverse variance weighted,266.521878236185,-0.00420853618212514,0.00285871556127901,0.140973003221031,0.000427350427350427,FALSE,1.24559752414383e-155,TRUE,,,,,,,,,FALSE,,,,"","",Null
RASGRF1,eqtl-a-ENSG00000058335,1,Wald ratio,34.3360961599412,0.0114287431715011,0.00802133425021159,0.154216964146045,0.000427350427350427,FALSE,8.254500487336e-08,TRUE,,,,,,,,,FALSE,,,,"","",Null
SLC16A3,eqtl-a-ENSG00000141526,4,Inverse variance weighted,466.14283270863,0.00174575561735582,0.00136253745538947,0.200104708606256,0.000427350427350427,FALSE,4.61865577250733e-205,TRUE,,,,,,,,,FALSE,,,,"","",Null
SSBP3,eqtl-a-ENSG00000157216,4,Inverse variance weighted,42.286918444656,0.0046379645567484,0.0036254220136354,0.200795105283902,0.000427350427350427,FALSE,6.66475076053662e-34,TRUE,,,,,,,,,FALSE,,,,"","",Null
ERBB3,eqtl-a-ENSG00000065361,1,Wald ratio,424.933729617358,0.00292248775130592,0.00231669915424236,0.207133147793787,0.000427350427350427,FALSE,4.54450222729046e-86,TRUE,,,,,,,,,FALSE,,,,"","",Null
LMCD1,eqtl-a-ENSG00000071282,2,Inverse variance weighted,350.737692581168,-0.00230029556634609,0.00183501111303148,0.210002168974807,0.000427350427350427,FALSE,3.3969120951812e-141,TRUE,,,,,,,,,FALSE,,,,"","",Null
MYO1D,eqtl-a-ENSG00000176658,2,Inverse variance weighted,706.896432532381,0.004849744727685,0.00388596160861087,0.212024965590683,0.000427350427350427,FALSE,4.89116963977457e-248,TRUE,,,,,,,,,FALSE,,,,"","",Null
COL4A1,eqtl-a-ENSG00000187498,2,Inverse variance weighted,280.700193278578,0.00253581025724638,0.00203262976233918,0.212195358488567,0.000427350427350427,FALSE,3.57594912034359e-113,TRUE,,,,,,,,,FALSE,,,,"","",Null
RORA,eqtl-a-ENSG00000069667,3,Inverse variance weighted,69.1538099543801,-0.00395792550668248,0.00320189111812009,0.216413513903953,0.000427350427350427,FALSE,6.93083373477941e-42,TRUE,,,,,,,,,FALSE,,,,"","",Null
RUNX1,eqtl-a-ENSG00000159216,2,Inverse variance weighted,34.8370408066888,-0.00670567217975773,0.0055403140238835,0.226147866070566,0.000427350427350427,FALSE,1.07978395504773e-14,TRUE,,,,,,,,,FALSE,,,,"","",Null
BMP2,eqtl-a-ENSG00000125845,2,Inverse variance weighted,303.589386783498,-0.00271930763841827,0.00225577983626047,0.228016316382054,0.000427350427350427,FALSE,3.87540878869152e-121,TRUE,,,,,,,,,FALSE,,,,"","",Null
IGF2,eqtl-a-ENSG00000167244,1,Wald ratio,104.517870399489,-0.00555001886365351,0.00477639779672527,0.245248678812454,0.000427350427350427,FALSE,3.00550142300295e-22,TRUE,,,,,,,,,FALSE,,,,"","",Null
SMAD7,eqtl-a-ENSG00000101665,1,Wald ratio,88.804570433678,-0.00575300704927789,0.00503712396167741,0.253403563133162,0.000427350427350427,FALSE,1.05833097019165e-18,TRUE,,,,,,,,,FALSE,,,,"","",Null
PLOD2,eqtl-a-ENSG00000152952,6,Inverse variance weighted,155.815497363961,-0.00223935537801277,0.00199458798464458,0.261558229667425,0.000427350427350427,FALSE,8.42493862463424e-184,TRUE,,,,,,,,,FALSE,,,,"","",Null
SPARC,eqtl-a-ENSG00000113140,14,Inverse variance weighted,209.766406438757,-0.000987679494249413,0.000892005215032891,0.268182599158023,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
CNDP2,eqtl-a-ENSG00000133313,4,Inverse variance weighted,1464.95108562013,0.000890145882531051,0.000828434536773477,0.282602444574644,0.000427350427350427,FALSE,3.1903675811283e-298,TRUE,,,,,,,,,FALSE,,,,"","",Null
TSPYL1,eqtl-a-ENSG00000189241,1,Wald ratio,475.119338329769,0.00245109706210487,0.0022969538596398,0.285923222490574,0.000427350427350427,FALSE,1.12457702228031e-96,TRUE,,,,,,,,,FALSE,,,,"","",Null
HGF,eqtl-a-ENSG00000019991,1,Wald ratio,52.3382255800591,-0.00677339363846419,0.00651415367976009,0.298434495368219,0.000427350427350427,FALSE,1.5756444914015e-11,TRUE,,,,,,,,,FALSE,,,,"","",Null
NFATC3,eqtl-a-ENSG00000072736,2,Inverse variance weighted,343.100534855516,-0.00442782950128114,0.0043865772378297,0.312780823509324,0.000427350427350427,FALSE,1.0711527144181e-131,TRUE,,,,,,,,,FALSE,,,,"","",Null
MMP1,eqtl-a-ENSG00000196611,4,Inverse variance weighted,102.433446695384,-0.00237304031076346,0.00240869925235948,0.324527918794378,0.000427350427350427,FALSE,1.62279158897707e-81,TRUE,,,,,,,,,FALSE,,,,"","",Null
EMP1,eqtl-a-ENSG00000134531,9,Inverse variance weighted,82.3657102704418,-0.0017265151735363,0.00179764824551793,0.33683888210357,0.000427350427350427,FALSE,1.83687217746084e-147,TRUE,,,,,,,,,FALSE,,,,"","",Null
PLOD1,eqtl-a-ENSG00000083444,4,Inverse variance weighted,1682.89761028788,-0.000556749684672614,0.000624457052478924,0.372621300476148,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
LAMA2,eqtl-a-ENSG00000196569,2,Inverse variance weighted,95.6498916951595,0.00345946341227767,0.00388464560282389,0.373171701078423,0.000427350427350427,FALSE,1.22923140485477e-38,TRUE,,,,,,,,,FALSE,,,,"","",Null
SEMA3A,eqtl-a-ENSG00000075213,3,Inverse variance weighted,170.66369866616,0.0019094305125799,0.00214795383536318,0.374028212862684,0.000427350427350427,FALSE,1.2353633750061e-103,TRUE,,,,,,,,,FALSE,,,,"","",Null
GNB3,eqtl-a-ENSG00000111664,1,Wald ratio,210.748393868202,0.00294854817223238,0.00334358983043194,0.377857365820597,0.000427350427350427,FALSE,4.37643839487818e-44,TRUE,,,,,,,,,FALSE,,,,"","",Null
RBMS3,eqtl-a-ENSG00000144642,1,Wald ratio,27.8645373161008,-0.00785195980788384,0.00892871013762685,0.379181268641967,0.000427350427350427,FALSE,1.04211030174704e-06,TRUE,,,,,,,,,FALSE,,,,"","",Null
ROBO1,eqtl-a-ENSG00000169855,1,Wald ratio,130.543419093847,0.00362490959276152,0.00418699907009698,0.386625289617755,0.000427350427350427,FALSE,2.28405832414274e-27,TRUE,,,,,,,,,FALSE,,,,"","",Null
MMP14,eqtl-a-ENSG00000157227,1,Wald ratio,84.5560004281093,-0.00430442108571528,0.00529056590595589,0.41587233283009,0.000427350427350427,FALSE,1.83946880131447e-18,TRUE,,,,,,,,,FALSE,,,,"","",Null
LOXL2,eqtl-a-ENSG00000134013,3,Inverse variance weighted,325.379452570886,0.00123154692292337,0.00152175145289007,0.418345073115484,0.000427350427350427,FALSE,5.5613827814119e-206,TRUE,,,,,,,,,FALSE,,,,"","",Null
ITGB1,eqtl-a-ENSG00000150093,1,Wald ratio,81.8024849207231,0.00425446967305943,0.00531121549115348,0.423111365192298,0.000427350427350427,FALSE,1.27741439908504e-17,TRUE,,,,,,,,,FALSE,,,,"","",Null
EMB,eqtl-a-ENSG00000170571,3,Inverse variance weighted,768.643508773412,0.00119601269871805,0.00149461624270677,0.423586875345226,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
TGFB2,eqtl-a-ENSG00000092969,1,Wald ratio,47.5534758578722,-0.0056968824940048,0.00726081204002315,0.432684142396029,0.000427350427350427,FALSE,9.18814308555997e-11,TRUE,,,,,,,,,FALSE,,,,"","",Null
STARD3,eqtl-a-ENSG00000131748,2,Inverse variance weighted,190.487297053638,0.00452624942600277,0.00588148794103276,0.441551702120416,0.000427350427350427,FALSE,2.91495876288794e-80,TRUE,,,,,,,,,FALSE,,,,"","",Null
DLK1,eqtl-a-ENSG00000185559,1,Wald ratio,258.877643030606,0.00232849685205948,0.0030480130686459,0.444903439195321,0.000427350427350427,FALSE,5.01356134175675e-54,TRUE,,,,,,,,,FALSE,,,,"","",Null
SMAD3,eqtl-a-ENSG00000166949,2,Inverse variance weighted,244.85369673423,-0.00164222350761866,0.00217893612809098,0.45104058732668,0.000427350427350427,FALSE,8.12247940119377e-102,TRUE,,,,,,,,,FALSE,,,,"","",Null
FN1,eqtl-a-ENSG00000115414,3,Inverse variance weighted,145.10654138084,0.00208934551738703,0.00279661431930645,0.455004288099301,0.000427350427350427,FALSE,1.09431272082379e-87,TRUE,,,,,,,,,FALSE,,,,"","",Null
MMP9,eqtl-a-ENSG00000100985,8,Inverse variance weighted,116.452684923623,-0.00118664423409435,0.00161955957306528,0.463744085232566,0.000427350427350427,FALSE,1.34397020944757e-183,TRUE,,,,,,,,,FALSE,,,,"","",Null
EEF1E1,eqtl-a-ENSG00000124802,1,Wald ratio,36.5336808521595,0.00552839119615257,0.0078770957242757,0.482784466517966,0.000427350427350427,FALSE,1.10029218537423e-08,TRUE,,,,,,,,,FALSE,,,,"","",Null
COL5A1,eqtl-a-ENSG00000130635,1,Wald ratio,108.332633556015,-0.00327241893013617,0.00469525207381632,0.485825688251453,0.000427350427350427,FALSE,1.53483962140029e-23,TRUE,,,,,,,,,FALSE,,,,"","",Null
EPAS1,eqtl-a-ENSG00000116016,4,Inverse variance weighted,217.022813094346,0.00209064245698853,0.00302945746218352,0.49012842580726,0.000427350427350427,FALSE,7.4739471340644e-211,TRUE,,,,,,,,,FALSE,,,,"","",Null
CACNA1I,eqtl-a-ENSG00000100346,5,Inverse variance weighted,76.5874574238161,-0.00227037219490948,0.00329084638258375,0.490253774358783,0.000427350427350427,FALSE,4.59929360601722e-92,TRUE,,,,,,,,,FALSE,,,,"","",Null
IGSF10,eqtl-a-ENSG00000152580,1,Wald ratio,313.07513958894,0.00184888317288597,0.0027224954135381,0.497065999578387,0.000427350427350427,FALSE,1.84554327029179e-65,TRUE,,,,,,,,,FALSE,,,,"","",Null
TGFBR1,eqtl-a-ENSG00000106799,2,Inverse variance weighted,187.886631628411,-0.00345954210407472,0.00593877128811255,0.560206376638456,0.000427350427350427,FALSE,1.87275518645571e-79,TRUE,,,,,,,,,FALSE,,,,"","",Null
KCNQ5,eqtl-a-ENSG00000185760,3,Inverse variance weighted,179.731791653329,0.00117752860650323,0.00203254147730639,0.562361099149397,0.000427350427350427,FALSE,5.82048744824387e-106,TRUE,,,,,,,,,FALSE,,,,"","",Null
MAD2L1,eqtl-a-ENSG00000164109,2,Inverse variance weighted,115.616448993383,0.00176396824021868,0.00304672021389725,0.562607502807271,0.000427350427350427,FALSE,5.7732666482772e-76,TRUE,,,,,,,,,FALSE,,,,"","",Null
ERLIN1,eqtl-a-ENSG00000107566,1,Wald ratio,281.578731021676,-0.00223838405554893,0.00388061481405587,0.56406666016068,0.000427350427350427,FALSE,2.0572017924962e-58,TRUE,,,,,,,,,FALSE,,,,"","",Null
TGFB3,eqtl-a-ENSG00000119699,2,Inverse variance weighted,470.058259083602,0.00084159862072359,0.00160410140967792,0.599823567136823,0.000427350427350427,FALSE,1.47237699792167e-167,TRUE,,,,,,,,,FALSE,,,,"","",Null
TIMP2,eqtl-a-ENSG00000035862,4,Inverse variance weighted,564.991874831694,-0.000555069831452117,0.00106919966245169,0.603659517089761,0.000427350427350427,FALSE,1.00951807889198e-206,TRUE,,,,,,,,,FALSE,,,,"","",Null
RXRA,eqtl-a-ENSG00000186350,5,Inverse variance weighted,49.2364888917823,0.00158589861262395,0.00305652301732798,0.603860408691052,0.000427350427350427,FALSE,3.76688001345218e-51,TRUE,,,,,,,,,FALSE,,,,"","",Null
PITPNM1,eqtl-a-ENSG00000110697,4,Inverse variance weighted,82.5210559212701,0.00214571817613468,0.00414055255849189,0.604304608706936,0.000427350427350427,FALSE,6.86119513033416e-71,TRUE,,,,,,,,,FALSE,,,,"","",Null
TGFBR2,eqtl-a-ENSG00000163513,4,Inverse variance weighted,314.546691877981,0.000698972477136294,0.0013920319447493,0.615580385385771,0.000427350427350427,FALSE,4.54648797000936e-194,TRUE,,,,,,,,,FALSE,,,,"","",Null
FBN2,eqtl-a-ENSG00000138829,7,Inverse variance weighted,1503.1892099632,-0.000404969876694175,0.000880399144119032,0.645527414146337,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
TPPP3,eqtl-a-ENSG00000159713,8,Inverse variance weighted,99.5103003846355,-0.000832506491547293,0.00190660441610279,0.662369885054071,0.000427350427350427,FALSE,1.14962138554705e-158,TRUE,,,,,,,,,FALSE,,,,"","",Null
FGF2,eqtl-a-ENSG00000138685,1,Wald ratio,200.11827555798,-0.00144981240088191,0.0033880290212244,0.668707856483611,0.000427350427350427,FALSE,1.20777327343752e-42,TRUE,,,,,,,,,FALSE,,,,"","",Null
CCN2,eqtl-a-ENSG00000118523,2,Inverse variance weighted,320.089381005869,0.000768918554587593,0.00190154285544319,0.68594387828656,0.000427350427350427,FALSE,1.47277175357926e-131,TRUE,,,,,,,,,FALSE,,,,"","",Null
ACAA2,eqtl-a-ENSG00000167315,2,Inverse variance weighted,154.721104896594,-0.00297221877341616,0.00755647537785405,0.694072800876494,0.000427350427350427,FALSE,9.4438812068309e-65,TRUE,,,,,,,,,FALSE,,,,"","",Null
SERPINE1,eqtl-a-ENSG00000106366,4,Inverse variance weighted,52.8299390046101,-0.00125769710421098,0.00342301800576544,0.7133031782277,0.000427350427350427,FALSE,3.85027492083516e-42,TRUE,,,,,,,,,FALSE,,,,"","",Null
ETS1,eqtl-a-ENSG00000134954,2,Inverse variance weighted,52.189199198252,-0.00174339578382219,0.00477078493492898,0.714789223335354,0.000427350427350427,FALSE,1.40839983560473e-22,TRUE,,,,,,,,,FALSE,,,,"","",Null
GAS6,eqtl-a-ENSG00000183087,4,Inverse variance weighted,125.275327430417,-0.00127519503930042,0.00404987720049329,0.752858447060769,0.000427350427350427,FALSE,8.54504953496985e-102,TRUE,,,,,,,,,FALSE,,,,"","",Null
TMEM119,eqtl-a-ENSG00000183160,5,Inverse variance weighted,442.340228429711,0.000348322245065833,0.00122273022963909,0.775741807860262,0.000427350427350427,FALSE,1.60356358759803e-270,TRUE,,,,,,,,,FALSE,,,,"","",Null
VEGFB,eqtl-a-ENSG00000173511,1,Wald ratio,170.145390948094,0.0010408959485126,0.00371126649810673,0.779117551823005,0.000427350427350427,FALSE,3.79485987421632e-36,TRUE,,,,,,,,,FALSE,,,,"","",Null
C1S,eqtl-a-ENSG00000182326,1,Wald ratio,30.661732183288,-0.00243631556541417,0.0100080213304654,0.807667435183488,0.000427350427350427,FALSE,1.00918289010913e-07,TRUE,,,,,,,,,FALSE,,,,"","",Null
PCDH9,eqtl-a-ENSG00000184226,3,Inverse variance weighted,43.1557464033839,0.00127444013471485,0.00646610914337362,0.843752911333248,0.000427350427350427,FALSE,1.63482190511293e-25,TRUE,,,,,,,,,FALSE,,,,"","",Null
SLC39A8,eqtl-a-ENSG00000138821,2,Inverse variance weighted,207.127739669674,-0.00202053901395357,0.0102897375689368,0.84432489229126,0.000427350427350427,FALSE,1.32384804422996e-74,TRUE,,,,,,,,,FALSE,,,,"","",Null
COL5A2,eqtl-a-ENSG00000204262,1,Wald ratio,395.257137269962,-0.000528119694279455,0.00319008928878777,0.868510996626733,0.000427350427350427,FALSE,5.09566528169349e-83,TRUE,,,,,,,,,FALSE,,,,"","",Null
EZR,eqtl-a-ENSG00000092820,2,Inverse variance weighted,226.207996165059,-0.000768731719470065,0.00465469301233098,0.868824368646554,0.000427350427350427,FALSE,2.61394383732832e-135,TRUE,,,,,,,,,FALSE,,,,"","",Null
EGLN1,eqtl-a-ENSG00000135766,3,Inverse variance weighted,240.205108776369,0.000325962980709449,0.00203990501799701,0.873043969207679,0.000427350427350427,FALSE,3.08045258716765e-139,TRUE,,,,,,,,,FALSE,,,,"","",Null
MAP3K1,eqtl-a-ENSG00000095015,2,Inverse variance weighted,283.01824164868,-0.000368340287969066,0.00241114489811604,0.878583031327729,0.000427350427350427,FALSE,1.86539168355367e-116,TRUE,,,,,,,,,FALSE,,,,"","",Null
PXDN,eqtl-a-ENSG00000130508,3,Inverse variance weighted,1320.44137980747,0.000473559189802192,0.00320487015474679,0.882530312539738,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
EGR3,eqtl-a-ENSG00000179388,1,Wald ratio,46.951812634661,-0.000893939629611627,0.00681185048364361,0.895590985070949,0.000427350427350427,FALSE,4.00441193415364e-11,TRUE,,,,,,,,,FALSE,,,,"","",Null
ARIH2,eqtl-a-ENSG00000177479,1,Wald ratio,383.458155041181,-0.000312324857722901,0.0024820780776783,0.899864907867491,0.000427350427350427,FALSE,5.20545848174692e-80,TRUE,,,,,,,,,FALSE,,,,"","",Null
SEC23B,eqtl-a-ENSG00000101310,2,Inverse variance weighted,1082.37051529553,-0.000161823277703565,0.00133128406501461,0.903252023151118,0.000427350427350427,FALSE,7.53670472614378e-239,TRUE,,,,,,,,,FALSE,,,,"","",Null
COL1A1,eqtl-a-ENSG00000108821,1,Wald ratio,64.6004995494397,0.000646719162216074,0.00567230229714948,0.909227074411568,0.000427350427350427,FALSE,8.97167686977828e-15,TRUE,,,,,,,,,FALSE,,,,"","",Null
REV3L,eqtl-a-ENSG00000009413,2,Inverse variance weighted,61.7241461228842,0.000810829021728444,0.00817612735412877,0.921003053892033,0.000427350427350427,FALSE,2.86439064249208e-25,TRUE,,,,,,,,,FALSE,,,,"","",Null
KMT2A,eqtl-a-ENSG00000118058,1,Wald ratio,27.0899937823117,-0.000902295350253618,0.00918484148274884,0.92174375028268,0.000427350427350427,FALSE,3.74458072920992e-07,TRUE,,,,,,,,,FALSE,,,,"","",Null
TGFBI,eqtl-a-ENSG00000120708,18,Inverse variance weighted,314.791238129513,8.08156574645789e-05,0.000859111675309401,0.925054455345119,0.000427350427350427,FALSE,0,TRUE,,,,,,,,,FALSE,,,,"","",Null
ZEB2,eqtl-a-ENSG00000169554,2,Inverse variance weighted,42.3573839484551,0.000594220824432987,0.0121878430861646,0.96111437855062,0.000427350427350427,FALSE,9.5947654940202e-17,TRUE,,,,,,,,,FALSE,,,,"","",Null
AKAP12,eqtl-a-ENSG00000131016,3,Inverse variance weighted,100.874853631705,8.67780279853924e-05,0.00285930736805077,0.97578846475572,0.000427350427350427,FALSE,4.79818784840988e-64,TRUE,,,,,,,,,FALSE,,,,"","",Null
FST,eqtl-a-ENSG00000134363,1,Wald ratio,1378.10625712943,4.35267432339729e-05,0.00145418685963398,0.976121272818797,0.000427350427350427,FALSE,1.35163541574547e-191,TRUE,,,,,,,,,FALSE,,,,"","",Null
