gene,phase,ensembl,gene_chr,gene_pos,chr,n_cis,pos_lo,pos_hi,min_P,v3_chr,v3_tss,v3_offset_Mb,v3_wrong
LCAT,audited_v3,ENSG00000213398,16,67975843,16,4603,66977094,68975617,3.3065e-166,16,68133032,0.157189,FALSE
LGALS9,phase2_new,ENSG00000168961,17,25966705,17,4314,25270079,26966533,1.1288954292536e-308,,,,FALSE
LRRTM2,phase2_new,,,,,,,,,,,,FALSE
NOG,positive_control,ENSG00000183691,17,54672005,17,6497,53672220,55671908,1.0018e-54,,,,FALSE
NPAT,audited_v3,ENSG00000149308,11,108060655,11,6806,107060798,109060550,1.4264e-71,11,108954747,0.894092,FALSE
NT5DC1,positive_control,ENSG00000178425,6,116494433,6,6690,115495362,117493927,3.2831e-99,,,,FALSE
PCOLCE,phase2_new,ENSG00000106333,7,100202799,7,5869,99203143,101202785,8.0274e-18,,,,FALSE
PDGFRA,phase2_new,ENSG00000134853,4,55129839,4,6922,54129872,56129692,0.00111098,,,,FALSE
PRMT6,audited_v3,ENSG00000198890,1,107600591,1,6885,106600819,108600490,1.1288954292536e-308,1,157561046,49.960455,TRUE
RASGRF1,positive_control,ENSG00000058335,15,79317702,15,7981,78317907,80317640,4.6398e-09,,,,FALSE
RBFOX1,positive_control,,,,,,,,,,,,FALSE
RBM45,positive_control,ENSG00000155636,2,178989341,2,6390,177989414,179989039,1.1785e-76,,,,FALSE
RDH5,positive_control,ENSG00000135437,12,56116320,12,5102,55116435,57116249,1.1288954292536e-308,,,,FALSE
RP11-25K19.1,positive_control,ENSG00000167912,8,60032752,8,6821,59033180,61032713,7.7586e-160,,,,FALSE
RP11-333A23.4,positive_control,ENSG00000253967,8,71390645,8,5388,70391755,72390482,1.2398e-51,,,,FALSE
S100A3,phase2_new,ENSG00000188015,1,153520826,1,5667,152521044,154519249,9.3749e-29,,,,FALSE
SH3YL1,audited_v3,ENSG00000035115,2,242064,2,5485,10345,1241984,1.1288954292536e-308,2,242775,0.000711,FALSE
SLC14A2,positive_control,ENSG00000132874,18,43028016,18,6339,42028141,44027193,6.3664e-05,,,,FALSE
TJP2,positive_control,ENSG00000119139,9,71803174,9,6140,70848004,72802839,1.1288954292536e-308,,,,FALSE
TSPAN10,phase2_new,ENSG00000182612,17,79609988,17,8631,78610113,80609935,1.1614e-56,,,,FALSE
TSSK6,audited_v3,ENSG00000178093,19,19625113,19,6497,18625151,20624092,2.2343e-66,19,19535895,0.089218,FALSE
UBE2I,audited_v3,ENSG00000103275,16,1366283,16,9754,367174,2366258,8.8051e-308,,,,FALSE
UTS2,phase2_new,ENSG00000049247,1,7908357,1,6164,6908448,8908212,1.1288954292536e-308,,,,FALSE
WNT3,audited_v3,ENSG00000108379,17,44875196,17,6377,43875330,45874715,1.8079e-48,17,44886026,0.01083,FALSE
ZKSCAN4,audited_v3,ENSG00000187626,6,28219706,6,8048,27220066,29219655,1.4646e-138,6,28259888,0.040182,FALSE
ZMAT4,positive_control,ENSG00000165061,8,40571730,8,8317,39571889,41571692,1.1288954292536e-308,,,,FALSE
