gene,ensembl,phase,n_cis_eqtl,derived_chr,derived_tss,PP.H0,PP.H1,PP.H2,PP.H3,PP.H4,PP.H4_p12_1e6,PP.H4_p12_5e6,n_shared,status
RDH5,ENSG00000135437,positive_control,5102,12,56116320,0,9.04541729548216e-10,0,0.0090597119730797,0.990940287122394,0.91623301473956,0.982043257178906,1697,ok
RP11-25K19.1,ENSG00000167912,positive_control,6821,8,60032752,1.27265456208024e-163,5.00492920138203e-12,2.54280232487732e-152,0.999999999081183,9.13812434328792e-10,9.1381243508033e-11,4.56906217373159e-10,2339,ok
RP11-333A23.4,ENSG00000253967,positive_control,5388,8,71390645,2.98828785966282e-48,0.00311740382567575,3.47086171747228e-47,0.0352466482086371,0.961635947965692,0.714824031059267,0.926106740773325,2167,ok
S100A3,ENSG00000188015,phase2_new,5667,1,153520826,5.05222553440136e-08,0.995093697217051,1.95249216093705e-10,0.00384459533142808,0.00106165673401795,0.000106267210771724,0.000531110295419797,2090,ok
SH3YL1,ENSG00000035115,audited_v3,5485,2,242064,0,0.167038715851484,0,0.0849822309959904,0.747979053152358,0.228866556565589,0.597417363532028,2078,ok
SLC14A2,ENSG00000132874,positive_control,6339,18,43028016,0.017530031750729,0.00429191689459275,0.779854481473344,0.190926120067639,0.00739744981369502,0.000744702994091915,0.00371245626128671,2781,ok
TJP2,ENSG00000119139,positive_control,6140,9,71803174,0,0.000367369417021311,0,0.999631704444329,9.26139097663401e-07,9.26139869623987e-08,4.63069763264929e-07,2956,ok
TSPAN10,ENSG00000182612,phase2_new,8631,17,79609988,9.17525196062022e-53,0.0188468663732012,4.77653733220205e-51,0.981147555415144,5.57821165681067e-06,5.578239661752e-07,2.78911360753834e-06,3179,ok
TSSK6,ENSG00000178093,audited_v3,6497,19,19625113,6.26779991609209e-61,0.0451656499169769,2.41084222250853e-60,0.172942951903415,0.781891398179617,0.263887059636776,0.641889727246921,2395,ok
UBE2I,ENSG00000103275,audited_v3,9754,16,1366283,4.57954405177393e-300,0.959585616324414,1.48833983116084e-301,0.0311770440464274,0.00923733962910762,0.000931477902882195,0.00464010090855636,3966,ok
UTS2,ENSG00000049247,phase2_new,6164,1,7908357,0,0.989316358129569,0,0.00909226579490958,0.001591376075459,0.000159365857457462,0.000796321661349732,2865,ok
WNT3,ENSG00000108379,audited_v3,6377,17,44875196,6.93946535458777e-42,0.861215918281631,1.56907769200735e-43,0.0193534626995415,0.119430619018829,0.013381395404756,0.0635076909294978,1376,ok
ZKSCAN4,ENSG00000187626,audited_v3,8048,6,28219706,3.25493024791306e-131,0.915330076839183,2.27066083410613e-132,0.0638331938475586,0.0208367293132467,0.00212349495188413,0.0105280497177056,2051,ok
ZMAT4,ENSG00000165061,positive_control,8317,8,40571730,0,1.18245418929784e-06,0,0.999998810009768,7.53601215622875e-09,7.53601220734139e-10,3.76800609231214e-09,3495,ok
